RyanHhttp://char.iis.sinica.edu.tw/,big5,scipt_en,script_ch,file
大,a46a,oracle,甲骨文,acs/a46a/a46a-oracle_000.gif
小,a470,oracle,甲骨文,acs/a470/a470-oracle_000.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_000.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_001.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_002.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_003.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_004.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_005.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_006.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_007.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_008.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_009.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_010.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_011.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_012.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_013.gif
一,a440,jinwen,金文,acs/a440/a440-jinwen_014.gif
千,a464,chuxi,楚系文字,acs/a464/a464-chuxi_000.gif
千,a464,chuxi,楚系文字,acs/a464/a464-chuxi_001.gif
千,a464,chuxi,楚系文字,acs/a464/a464-chuxi_002.gif
千,a464,chuxi,楚系文字,acs/a464/a464-chuxi_003.gif
千,a464,chuxi,楚系文字,acs/a464/a464-chuxi_004.gif
千,a464,chuxi,楚系文字,acs/a464/a464-chuxi_005.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_000.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_001.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_002.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_003.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_004.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_005.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_006.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_007.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_008.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_009.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_010.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_011.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_012.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_013.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_014.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_015.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_016.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_017.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_018.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_019.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_020.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_021.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_022.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_023.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_024.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_025.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_026.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_027.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_028.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_029.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_030.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_031.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_032.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_033.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_034.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_035.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_036.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_037.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_038.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_039.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_040.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_041.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_042.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_043.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_044.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_045.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_046.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_047.gif
大,a46a,jinwen,金文,acs/a46a/a46a-jinwen_048.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_000.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_001.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_002.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_003.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_004.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_005.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_006.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_007.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_008.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_009.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_010.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_011.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_012.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_013.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_014.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_015.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_016.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_017.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_018.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_019.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_020.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_021.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_022.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_023.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_024.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_025.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_026.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_027.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_028.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_029.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_030.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_031.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_032.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_033.gif
十,a451,chuxi,楚系文字,acs/a451/a451-chuxi_034.gif
